web-scraper-order,web-scraper-start-url,firstLetters,firstLetters-href,testNames
"1522321678-899","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Tilt-table Test"
"1522321733-1145","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","N","https://www.medicinenet.com/procedures_and_tests/alpha_n.htm","Newborn Score (Apgar Score)"
"1522321822-1381","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Endoscopy, Capsule (Capsule Endoscopy)"
"1522321699-1031","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","R","https://www.medicinenet.com/procedures_and_tests/alpha_r.htm","Root Canal"
"1522321725-1131","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","Otoplasty"
"1522321699-1034","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","R","https://www.medicinenet.com/procedures_and_tests/alpha_r.htm","Rubbers (Condoms)"
"1522321822-1394","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","EPO (Erythropoietin)"
"1522321688-990","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Stress Throat Test, Rapid (Rapid Strep Test)"
"1522321852-1628","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Breastfeeding Classes (Pregnancy: Birthing and Parenting Classes)"
"1522321830-1460","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Duodenal Biliary Drainage"
"1522321810-1344","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","F","https://www.medicinenet.com/procedures_and_tests/alpha_f.htm","Freeze Nerves (Cryotherapy)"
"1522321845-1469","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Capsule Endoscopy"
"1522321715-1109","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Prostate Specific Antigen (Prostate Specific Antigen)"
"1522321649-824","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","W","https://www.medicinenet.com/procedures_and_tests/alpha_w.htm","White Blood Count (Complete Blood Count)"
